,0,1,2
PI_angle,112.83,102.53,55.94
design_speed,50.0,60.0,70.0
emax,0.1,0.1,0.1
fmax,0.135,0.135,0.135
R_design,100.0,140.0,170.0
ed,0.05,0.07,0.06
tmax,3.0,3.0,3.0
delta_i,0.035,0.035,0.035
ls_r,60.0,80.0,90.0
Rmin,83.766,120.623,164.182
e-hit,0.097,0.098,0.100
e-design,0.050,0.070,0.060
Ls-tabel,27.771,33.331,38.891
Ls-hit,41.667,50.000,58.333
Ls-renc,60.000,80.000,90.000
Lc,136.925,170.528,75.977
Lt,256.925,330.528,255.977
spiral angle,17.189,16.370,15.167
circle angle,78.453,69.790,25.607
Xs,59.460,79.347,89.369
Ys,6.000,7.619,7.941
P,1.500,1.905,1.985
K,30.439,40.534,45.517
Tt,183.296,217.438,136.847
Et,83.487,86.787,24.731
